dual_pair_index,equation_id_a,equation_id_b,alps_status_a,alps_status_b
1,E4952,E41252,hard/null,not-in-screened-corpus
2,E4957,E40914,not-in-screened-corpus,hard/null
3,E5012,E41253,not-in-screened-corpus,hard/null
4,E5066,E41239,hard/null,hard/null
7,E5141,E40917,hard/null,not-in-screened-corpus
8,E5295,E40909,hard/null,hard/null
19,E7701,E38303,hard/null,hard/null
20,E7755,E38249,hard/null,hard/null
24,E9345,E36713,hard/null,hard/null
25,E9384,E36714,hard/null,hard/null
28,E9667,E36638,hard/null,hard/null
29,E9680,E36524,hard/null,hard/null
32,E11081,E35036,hard/null,hard/null
34,E11116,E34888,hard/null,hard/null
