category,equation_id,record_id,in_alps_final_status,in_alps_evaluation_pool,alps_final_status,alps_pool_tier,alps_pool_baseline_resolution
table20_2_austin96,E4952,austin96::order5_austin_unknown_E4952_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E41252,austin96::order5_austin_unknown_E41252_to_E2,False,False,,,
table20_2_austin96,E4957,austin96::order5_austin_unknown_E4957_to_E2,False,False,,,
table20_2_austin96,E40914,austin96::order5_austin_unknown_E40914_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5012,austin96::order5_austin_unknown_E5012_to_E2,False,False,,,
table20_2_austin96,E41253,austin96::order5_austin_unknown_E41253_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5066,austin96::order5_austin_unknown_E5066_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E41239,austin96::order5_austin_unknown_E41239_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5093,austin96::order5_austin_unknown_E5093_to_E2,False,False,,,
table20_2_austin96,E41179,austin96::order5_austin_unknown_E41179_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5107,austin96::order5_austin_unknown_E5107_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40951,austin96::order5_austin_unknown_E40951_to_E2,False,False,,,
table20_2_austin96,E5141,austin96::order5_austin_unknown_E5141_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40917,austin96::order5_austin_unknown_E40917_to_E2,False,False,,,
table20_2_austin96,E5295,austin96::order5_austin_unknown_E5295_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40909,austin96::order5_austin_unknown_E40909_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5833,austin96::order5_austin_unknown_E5833_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40070,austin96::order5_austin_unknown_E40070_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5834,austin96::order5_austin_unknown_E5834_to_E2,True,True,NO_FINITE_MODEL,resolved_by_baseline,"{""budget_s"": 60, ""config"": ""twee/complete"", ""verdict"": ""TRIVIAL""}"
table20_2_austin96,E40037,austin96::order5_austin_unknown_E40037_to_E2,True,True,NO_FINITE_MODEL,resolved_by_baseline,"{""budget_s"": 60, ""config"": ""twee/complete"", ""verdict"": ""TRIVIAL""}"
table20_2_austin96,E5837,austin96::order5_austin_unknown_E5837_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40221,austin96::order5_austin_unknown_E40221_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5947,austin96::order5_austin_unknown_E5947_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40057,austin96::order5_austin_unknown_E40057_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E5951,austin96::order5_austin_unknown_E5951_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E40208,austin96::order5_austin_unknown_E40208_to_E2,True,True,NO_FINITE_MODEL,hard,null
table20_2_austin96,E6820,austin96::order5_austin_unknown_E6820_to_E2,False,False,,,
table20_2_austin96,E39485,austin96::order5_austin_unknown_E39485_to_E2,True,True,NO_FINITE_MODEL,hard,null
